Layers,Height,RSSI,Time,STD_RSSI,STD_TIME,SE_RSSI,SE_TIME
0,0,-51.06,25.71,0.77,2.03,0.2,0.52
1,3.48,-57.04,188.62,0.68,32.32,0.17,8.34
2,6.4,-54.53,114.07,0.28,8.65,0.07,2.23
3,9.05,-53.95,81.71,0.3,7.5,0.08,1.94
4,11.5,-53.82,67.87,0.36,5.45,0.09,1.41
5,14.15,-53.33,60.97,0.42,3.8,0.11,0.98
6,16.2,-53.18,59.5,0.5,4.47,0.13,1.15
7,19.2,-53.08,52.77,0.3,2.33,0.08,0.6
9,25.6,-56.74,134.48,0.25,8.35,0.06,2.15
10,28.25,-56.24,93.59,0.3,9.27,0.08,2.39
11,30.35,-57.17,388.56,0.28,41.18,0.07,10.63
