Layers,Height,RSSI,Time,STD_RSSI,STD_TIME,SE_RSSI,SE_TIME
0,0,-54.16,43.41,0.52,4.09,0.13,1.05
1,3.48,-57.58,166.39,0.33,12.75,0.08,3.29
2,6.4,-58.41,224.12,0.44,25.1,0.11,6.48
3,9.05,-57,151.23,0.31,0.31,0.08,2.34
4,11.5,-58.4,223.69,0.21,23.81,0.05,6.15
5,14.15,-58.91,261.5,0.28,65.22,0.07,16.84
6,16.2,-59.23,259.63,0.36,35.51,0.09,9.17
7,19.2,-58.36,223.74,0.29,21.49,0.08,5.55
8,23.2,-59.13,429,0.24,56.83,0.06,14.67
9,25.6,-58.49,1315.89,0.18,162.54,0.05,41.97
