Sample,rssi,time
0,-53.78,84.14
1,-54.02,82.52
2,-53.82,92.86
3,-53.76,86.96
4,-54.38,81.3
5,-53.5,90.38
6,-54,91.1
7,-54.42,91.24
8,-54.12,75.6
9,-53.6,74.62
10,-54.1,80.04
11,-53.86,74.04
12,-54.02,79
13,-53.42,66.42
14,-54.42,75.4
AVG,-53.95,81.71
STD,0.3,7.5
SE,0.08,1.94
,,
,,
,,
,,
Sample,rssi,time
0,-56.46,161.24
1,-56.88,149.2
2,-57.18,157.62
3,-56.82,134.3
4,-56.68,155.88
5,-57.02,161.14
6,-56.7,141.72
7,-57.2,170.66
8,-57.42,153.54
9,-56.82,147.54
10,-57.3,149.56
11,-56.58,142.44
12,-57.24,147.2
13,-57.38,142.02
14,-57.38,154.36
AVG,-57,151.23
STD,0.31,0.31
SE,0.08,2.34
