Sample,rssi,time
0,-53.36,72.14
1,-53.60,69.02
2,-54.46,65.22
3,-54.32,65.10
4,-53.24,75.76
5,-53.68,79.74
6,-53.76,70.06
7,-53.60,61.84
8,-53.88,70.46
9,-53.72,64.64
10,-53.82,60.60
11,-53.70,61.56
12,-54.34,67.18
13,-54.28,72.68
14,-53.58,62.08
AVG,-53.82,67.87
STD,0.36,5.45
SE,0.09,1.41



Sample,rssi,time
0,-58.18,288.12
1,-58.52,251.64
2,-58.46,245.52
3,-58.16,232.72
4,-58.26,226.16
5,-58.52,217.32
6,-58.40,232.72
7,-58.12,214.42
8,-58.42,218.18
9,-58.34,208.32
10,-58.54,206.76
11,-58.30,193.24
12,-58.74,207.58
13,-58.12,191.26
14,-58.86,221.32
AVG,-58.40,223.69
STD,0.21,23.81
SE,0.05,6.15
