Sample,rssi,time
0,-57.06,262.18
1,-56.42,216.50
2,-56.54,206.16
3,-57.26,174.14
4,-56.60,187.92
5,-57.26,197.94
6,-57.34,192.38
7,-56.84,204.36
8,-57.78,185.74
9,-57.22,154.04
10,-56.96,165.12
11,-57.92,186.18
12,-56.56,168.76
13,-56.96,163.80
14,-56.84,164.12
AVG,-57.04,188.62
STD,0.42,26.37
SE,0.11,6.81



0,-57.34,187.40
1,-58.00,172.08
2,-57.84,175.08
3,-57.18,170.72
4,-57.28,174.10
5,-57.98,152.66
6,-57.80,176.06
7,-57.32,152.94
8,-57.68,175.26
9,-57.28,150.92
10,-57.44,169.80
11,-58.10,172.48
12,-57.04,136.76
13,-57.86,157.82
14,-57.62,171.80
AVG,-57.58,166.39
STD,0.33,12.75
SE,0.08,3.29
