Sample,rssi,time
0,-54.96,109.52
1,-54.90,122.92
2,-54.78,113.74
3,-54.86,117.50
4,-54.66,125.44
5,-54.48,97.96
6,-54.40,103.30
7,-54.82,126.98
8,-54.32,117.30
9,-54.32,112.98
10,-54.36,110.88
11,-54.20,112.20
12,-54.00,124.72
13,-54.42,115.68
14,-54.48,100.00
AVG,-54.53,114.07
STD,0.28,8.65
SE,0.07,2.23



Sample,rssi,time
0,-57.48,275.36
1,-57.60,263.40
2,-58.70,265.98
3,-58.10,234.82
4,-58.28,216.00
5,-58.34,222.48
6,-58.34,215.94
7,-58.36,197.14
8,-59.24,222.60
9,-58.72,213.52
10,-58.40,202.76
11,-58.46,206.88
12,-58.96,222.10
13,-58.72,219.46
14,-58.44,183.42
AVG,-58.41,224.12
STD,0.44,25.10
SE,0.11,6.48
