Sample,rssi,time
0,-53.12,29.08
1,-50.98,27.46
2,-51.54,27.88
3,-51.68,28.26
4,-50.76,26.00
5,-50.40,23.86
6,-51.66,24.64
7,-50.52,24.26
8,-51.34,23.92
9,-49.86,24.10
10,-50.54,25.06
11,-50.84,25.20
12,-51.40,24.26
13,-51.12,22.60
14,-50.16,29.02
AVG,-51.06,25.71
STD,0.77,2.03
SE,0.20,0.52



Sample,rssi,time
0,-54.32,43.20
1,-53.84,45.66
2,-54.56,42.24
3,-54.60,41.62
4,-55.16,42.62
5,-53.70,41.76
6,-53.82,45.98
7,-53.64,47.00
8,-54.14,42.36
9,-54.38,52.82
10,-54.48,35.36
11,-55.02,37.40
12,-53.64,47.80
13,-53.42,44.48
14,-53.62,40.78
AVG,-54.16,43.41
STD,0.52,4.09
SE,0.13,1.05
