Sample,rssi,time
0,-60.66,1201.20
1,-61.24,954.38
2,-60.82,937.94
3,-60.74,837.86
4,-60.60,856.28
5,-60.46,1190.80
6,-60.32,859.68
7,-60.32,1029.16
8,-60.70,901.68
9,-60.56,1042.24
10,-60.36,835.78
11,-60.48,878.30
12,-60.40,929.94
13,-60.62,875.18
14,-60.66,945.00
AVG,-60.60,951.69
STD,0.23,113.15
SE,0.06,29.22



Sample,rssi,time
0,-59.72,639.76
1,-59.22,799.68
2,-59.50,1215.72
3,-59.88,1114.60
4,-59.54,1306.14
5,-59.18,1004.94
6,-59.78,955.96
7,-59.80,709.88
8,-59.42,599.66
9,-59.50,558.02
10,-59.40,479.30
11,-59.52,562.98
12,-59.10,582.90
13,-59.86,558.24
14,-59.42,555.68
AVG,-59.52,776.23
STD,0.24,263.64
SE,0.06,68.07
