Sample,rssi,time
0,-58.02,186.70
1,-57.46,161.80
2,-57.28,171.24
3,-57.88,161.82
4,-57.54,153.98
5,-57.92,146.04
6,-57.32,158.88
7,-57.60,142.04
8,-57.64,143.48
9,-57.94,150.22
10,-57.44,132.36
11,-57.78,136.04
12,-57.00,135.94
13,-57.72,155.46
14,-57.52,146.04
AVG,-57.60,152.14
STD,0.27,14.08
SE,0.07,3.64



Sample,rssi,time
0,-57.38,185.30
1,-57.42,178.28
2,-57.88,175.22
3,-56.86,152.08
4,-57.68,179.42
5,-56.92,165.40
6,-57.06,170.54
7,-57.50,161.30
8,-57.10,168.42
9,-57.26,169.42
10,-57.40,159.00
11,-57.14,168.50
12,-57.60,173.78
13,-57.70,166.56
14,-57.46,172.18
AVG,-57.36,169.69
STD,0.29,8.13
SE,0.07,2.10
