Sample,rssi,time
0,-58.20,41.84
1,-57.40,45.70
2,-57.94,34.52
3,-59.58,38.42
4,-57.74,38.56
5,-58.54,41.76
6,-59.12,41.22
7,-58.98,37.98
8,-59.56,45.78
9,-58.10,41.08
10,-58.50,39.66
11,-59.06,44.12
12,-58.80,48.24
13,-59.18,49.40
14,-58.60,42.42
AVG,-58.62,42.05
STD,0.63,3.92
SE,0.16,1.01
