Sample,rssi,time
0,-57.98,202.18
1,-57.62,223.72
2,-57.02,259.00
3,-57.12,255.76
4,-57.50,282.40
5,-58.62,261.56
6,-57.94,258.46
7,-58.32,229.72
8,-57.72,215.20
9,-58.26,222.48
10,-57.92,226.22
11,-57.66,202.34
12,-57.46,209.18
13,-57.86,230.12
14,-56.26,202.38
AVG,-57.68,232.05
STD,0.56,24.57
SE,0.14,6.34

Sample,rssi,time
0,-58.16,379.60
1,-58.14,388.40
2,-58.38,314.72
3,-58.82,270.68
4,-58.76,297.44
5,-58.38,278.76
6,-57.94,266.42
7,-58.22,296.22
8,-57.54,300.18
9,-58.18,307.42
10,-58.58,288.36
11,-57.90,251.02
12,-58.38,226.36
13,-58.26,230.90
14,-58.18,238.48
AVG,-58.25,289.00
STD,0.32,45.89
SE,0.08,11.85
