Layers,Height,RSSI,Time,STD_RSSI,STD_TIME,SE_RSSI,SE_TIME
0,0,,,,,,
1,3,-57.68,232.05,0.56,24.57,0.14,6.34
2,5.6,-56.65,160.55,0.26,17.42,0.07,4.5
3,8.3,-57.53,156.41,0.32,11.37,0.08,2.93
4,11,-57.6,152.14,0.27,14.08,0.07,3.64
5,13.5,-57.64,145.74,0.27,10.25,0.07,2.65
6,16.8,-57.29,142.09,0.27,14.23,0.07,3.68
7,18.74,-60.41,398.57,0.24,44.38,0.06,11.46
8,21.8,-60.6,951.69,0.23,113.15,0.06,29.22
