Sample,rssi,time
0,-53.42,28.52
1,-52.98,30.68
2,-52.28,27.34
3,-53.44,29.40
4,-52.60,25.30
5,-52.60,30.32
6,-52.08,27.82
7,-53.52,31.10
8,-51.58,26.22
9,-52.14,34.52
10,-51.84,27.30
11,-52.56,35.06
12,-51.78,25.08
13,-52.70,29.46
14,-51.98,25.20
AVG,-52.50,28.89
STD,0.60,3.00
SE,0.16,0.77
