Sample,rssi,time
0,-53.34,26.00
1,-51.02,23.64
2,-52.28,23.92
3,-52.48,24.30
4,-50.90,26.02
5,-51.70,22.82
6,-52.64,24.12
7,-51.52,26.70
8,-51.04,31.50
9,-50.46,24.90
10,-52.28,26.44
11,-52.20,27.44
12,-50.70,24.12
13,-50.20,29.88
14,-52.30,26.64
AVG,-51.67,25.90
STD,0.89,2.30
SE,0.23,0.59
