Sample,rssi,time
0,-50.54,51.98
1,-50.92,51.52
2,-51.04,51.54
3,-50.14,52.26
4,-51.54,44.02
5,-51.00,49.86
6,-51.08,48.70
7,-50.76,57.96
8,-50.88,48.98
9,-50.18,49.54
10,-51.34,53.38
11,-50.44,52.32
12,-50.52,49.48
13,-50.86,51.54
14,-50.82,50.14
AVG,-50.80,50.88
STD,0.38,2.87
SE,0.10,0.74
