Sample,rssi,time
0,-50.48,24.54
1,-49.24,24.74
2,-49.58,28.76
3,-49.98,23.84
4,-49.20,26.02
5,-48.44,20.32
6,-49.32,24.30
7,-48.62,20.84
8,-49.18,25.56
9,-48.86,22.24
10,-49.42,22.34
11,-50.02,22.34
12,-49.00,17.90
13,-50.26,24.82
14,-49.40,26.46
AVG,-49.40,23.67
STD,0.56,2.64
SE,0.15,0.68
