Sample,rssi,time
0,-50.00,23.40
1,-50.24,22.98
2,-47.90,29.46
3,-49.38,24.64
4,-49.54,25.42
5,-50.16,25.34
6,-49.38,22.08
7,-49.84,20.02
8,-49.18,21.46
9,-49.22,25.48
10,-49.88,24.44
11,-48.98,24.94
12,-49.24,22.98
13,-48.26,22.32
14,-48.80,21.98
AVG,-49.33,23.80
STD,0.64,2.19
SE,0.17,0.57
