Sample,rssi,time
0,-55.78,51.92
1,-55.30,52.62
2,-55.80,49.96
3,-55.72,49.90
4,-55.52,58.90
5,-54.40,49.22
6,-53.84,52.78
7,-54.16,46.02
8,-54.44,41.66
9,-54.02,48.40
10,-54.60,47.24
11,-54.64,52.40
12,-55.50,53.14
13,-54.66,51.96
14,-54.62,48.68
AVG,-54.87,50.32
STD,0.65,3.77
SE,0.17,0.97
