Sample,rssi,time
0,-54.32,150.62
1,-53.66,32.46
2,-53.66,36.92
3,-53.58,44.56
4,-53.92,40.92
5,-53.56,35.62
6,-54.34,39.18
7,-53.28,40.06
8,-54.60,37.66
9,-53.90,33.92
10,-53.86,43.12
11,-53.76,38.48
12,-54.54,40.80
13,-54.62,35.26
14,-53.94,39.58
AVG,-53.97,45.94
STD,0.40,28.16
SE,0.10,7.27
