Sample,rssi,time
0,-51.82,52.18
1,-51.54,52.76
2,-51.74,51.60
3,-51.38,48.08
4,-51.08,47.50
5,-50.84,53.70
6,-51.16,44.10
7,-51.60,46.66
8,-49.92,54.26
9,-51.80,50.70
10,-52.08,46.38
11,-51.04,48.50
12,-51.88,47.04
13,-52.34,45.74
14,-52.82,49.30
AVG,-51.54,49.23
STD,0.66,3.02
SE,0.17,0.78
